"site_id","name","basin","county","latitude","longitude","stream_segment","date","sample_depth","flow_severity","pH","conductivity","dissolved_oxygen","air_temp","water_temp","ecoli_avg","secchi_disk_transparency","nitrate_nitrogen","year"
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2012-12-20",0.2,"Normal",7.8,840,5.23,5.5,12.5,30,NA,0,2012
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2013-01-17",0.15,"Normal",8,680,8.2,NA,9,NA,NA,1,2013
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2013-01-17",0.15,"Normal",8,680,8.2,NA,9,NA,NA,1,2013
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2013-02-21",0.15,"Normal",8,780,6.85,NA,15,NA,NA,1,2013
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2013-03-21",0.3,"Low",7.9,820,4.6,14,19,200,NA,1,2013
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2013-04-18",0.15,"Normal",7,NA,3.25,NA,21,NA,NA,9,2013
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2013-04-18",0.15,"Normal",7,NA,3.25,NA,21,NA,NA,8.8,2013
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2013-05-16",0.2,"Normal",NA,NA,4.3,20,22,NA,NA,4,2013
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2013-05-16",0.1,"No flow",7.9,NA,4.95,20,23,NA,NA,NA,2013
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2013-06-20",0.29,"Normal",NA,NA,4.45,25,24,60,NA,10,2013
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2013-07-18",0.15,"Low",NA,NA,4.8,23,24,NA,NA,4,2013
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2013-08-15",0.2,"Low",7,1010,4.9,27,25,NA,NA,9,2013
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2013-09-19",0.17,"Low",7.4,990,5,23,24.5,330,NA,12,2013
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2013-09-19",0.17,"Low",7.4,990,5,23,24.5,330,NA,12,2013
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2013-10-17",0.2,"Normal",7.7,600,6.65,13,17,NA,NA,6,2013
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2013-11-21",0.15,"Low",7.7,840,5.1,21,19.5,NA,NA,15,2013
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2013-12-19",0.12,"Normal",8,820,6.8,15,14,NA,NA,15,2013
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2013-12-19",0.12,"Normal",8,820,6.8,15,14,NA,NA,15,2013
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2014-01-16",0.2,"Low",7.5,1120,8.1,9.5,11,NA,NA,8,2014
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2014-02-20",0.2,"Low",8,860,6.45,17,18,NA,NA,15,2014
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2014-02-20",0.2,"Low",8,860,6.45,17,18,NA,NA,15,2014
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2014-03-20",0.15,"Low",7.5,890,7.4,6,11,120,NA,15,2014
"15126","Cibolo Creek @ Menger Creek","San Antonio","Kendall",29.775,-98.70917,1908,"2014-04-17",0.2,"Low",8,930,6,14,15,NA,NA,15,2014
