"id","date","pcp_in","year","month","day"
"CICT2",2018-12-11,0,2018,12,11
"CICT2",2018-12-12,0,2018,12,12
"CICT2",2018-12-13,0,2018,12,13
"CICT2",2018-12-14,0,2018,12,14
"CICT2",2018-12-15,0,2018,12,15
"CICT2",2018-12-16,0,2018,12,16
"CICT2",2018-12-17,0,2018,12,17
"CICT2",2018-12-18,0,2018,12,18
"CICT2",2018-12-19,0.02,2018,12,19
"CICT2",2018-12-20,0,2018,12,20
"CICT2",2018-12-21,0,2018,12,21
"CICT2",2018-12-22,0,2018,12,22
"CICT2",2018-12-23,0,2018,12,23
"CICT2",2018-12-24,0,2018,12,24
"CICT2",2018-12-25,0,2018,12,25
"CICT2",2018-12-26,0.38,2018,12,26
"CICT2",2018-12-27,0.73,2018,12,27
"CICT2",2018-12-28,0.49,2018,12,28
