"site","mean_depth_ft","month","year","julian"
5758203,58.8,2,2017,"32"
5758203,58.81,3,2017,"60"
5758203,58.815,4,2017,"91"
5758203,58.83,5,2017,"121"
5758203,58.835,6,2017,"152"
5758203,58.85,7,2017,"182"
5758203,58.845,8,2017,"213"
5758203,58.855,9,2017,"244"
5758203,58.865,10,2017,"274"
5758203,58.875,11,2017,"305"
5758203,58.885,12,2017,"335"
5758203,58.87,1,2018,"1"
5758203,58.855,2,2018,"32"
5758203,58.86,3,2018,"60"
5758203,58.87,4,2018,"91"
5758203,58.875,5,2018,"121"
5758203,58.89,6,2018,"152"
5758203,58.89,7,2018,"182"
5758203,58.9,8,2018,"213"
5758203,58.905,9,2018,"244"
5758203,58.9,10,2018,"274"
5758203,58.9,11,2018,"305"
5758203,58.88,12,2018,"335"
5758203,58.9,1,2019,"1"
5758203,58.895,2,2019,"32"
5758203,58.895,3,2019,"60"
5758203,58.895,4,2019,"91"
5758203,58.905,5,2019,"121"
5758203,58.905,6,2019,"152"
5758203,58.895,7,2019,"182"
5758203,58.895,8,2019,"213"
5758203,58.895,9,2019,"244"
5758203,58.55,10,2019,"274"
5758203,58.435,11,2019,"305"
5758203,58.435,12,2019,"335"
5758203,58.44,1,2020,"1"
5758203,58.445,2,2020,"32"
5758203,58.45,3,2020,"61"
5758203,58.455,4,2020,"92"
5758203,58.46,5,2020,"122"
5758203,58.465,6,2020,"153"
5758203,58.465,7,2020,"183"
5758203,58.465,8,2020,"214"
5758203,58.465,9,2020,"245"
5758203,58.47,10,2020,"275"
5758203,58.465,11,2020,"306"
5758203,58.46,12,2020,"336"
5758203,58.46,1,2021,"1"
5758203,58.465,2,2021,"32"
5758203,58.46,3,2021,"60"
5758203,58.48,4,2021,"91"
5758203,58.475,5,2021,"121"
5758203,58.48,6,2021,"152"
5758203,58.475,7,2021,"182"
5758203,58.465,8,2021,"213"
5758203,58.47,9,2021,"244"
5758203,58.475,10,2021,"274"
5758203,58.47,11,2021,"305"
5758203,58.47,12,2021,"335"
5758203,58.465,1,2022,"1"
5758203,58.465,2,2022,"32"
5758203,58.48,3,2022,"60"
5758402,158.04,1,2007,"1"
5758402,159.29,2,2007,"32"
5758402,158.835,3,2007,"60"
5758402,159.375,4,2007,"91"
5758402,159.29,5,2007,"121"
5758402,158.915,6,2007,"152"
5758402,158.21,7,2007,"182"
5758402,157.4,8,2007,"213"
5758402,156.4,9,2007,"244"
5758402,156,10,2007,"274"
5758402,155.135,11,2007,"305"
5758402,153.8,12,2007,"335"
5758402,154.05,1,2008,"1"
5758402,152.75,2,2008,"32"
5758402,152.75,3,2008,"61"
5758402,153.3,4,2008,"92"
5758402,153.7,5,2008,"122"
5758402,155.1,6,2008,"153"
5758402,155.85,7,2008,"183"
5758402,156.3,8,2008,"214"
5758402,157.175,9,2008,"245"
5758402,157.8,10,2008,"275"
5758402,158,11,2008,"306"
5758402,158.866666666667,12,2008,"336"
5758402,160.15,1,2009,"1"
5758402,160.4,2,2009,"32"
5758402,161.45,3,2009,"60"
5758402,162.4,4,2009,"91"
5758402,165.5,5,2009,"121"
