"site","julian","date2","mean_depth_ft","month","day_month","min","flow10","flow25","flow50","flow75","flow90","max","Nobs","startYr","endYr","date"
6801314,"214",NA,NA,NA,NA,127.53,135.969,148.6275,161.28,168.2437,170.6625,172.275,4,2000,2022,"08-02"
6801314,"244",NA,NA,NA,NA,80.215,120.2297,137.07,157.575,164.415,170.148,174.49,13,2000,2022,"09-01"
6801314,"245",NA,NA,NA,NA,129.78,137.3385,148.6762,160.6775,166.6875,167.241,167.61,4,2000,2022,"09-02"
6801314,"274",NA,NA,NA,NA,85.91,119.6597,134.275,152.615,160.33,165.598,175.31,13,2000,2022,"10-01"
6801314,"275",NA,NA,NA,NA,131.37,136.3485,143.8162,155.94,164.3587,165.1575,165.69,4,2000,2022,"10-02"
6801314,"305",NA,NA,NA,NA,91.99,111.8288,131.0162,149.9025,159.4062,166.464,176.09,14,2000,2022,"11-01"
6801314,"306",NA,NA,NA,NA,131.29,136.9795,145.5137,153.7725,159.71,164.066,166.97,4,2000,2022,"11-02"
6801314,"335",NA,NA,NA,NA,94.225,106.1445,131.1763,147.905,159.6187,160.878,177.285,14,2000,2022,"12-01"
6801314,"336",NA,NA,NA,NA,108.58,117.184,130.09,149.69,160.205,163.508,165.71,5,2000,2022,"12-02"
6801608,"1","2022-01-01",55.465,"Jan","01-01",52.39,54.542,55.39,55.55,55.66,55.686,55.765,13,2009,2022,"01-01"
6801608,"32","2022-02-01",55.5,"Feb","02-01",52.75,54.131,55.12,55.5,55.645,55.712,55.77,13,2009,2022,"02-01"
6801608,"60","2022-03-01",55.54,"Mar","03-01",53.66,54.0065,54.5475,55.515,55.725,55.792,55.855,10,2009,2022,"03-01"
6801608,"61",NA,NA,NA,NA,54.985,55.077,55.215,55.445,55.45,55.453,55.455,3,2009,2022,"03-02"
6801608,"91",NA,NA,NA,NA,53.195,54.091,54.625,55.47,55.8,55.826,55.85,9,2009,2022,"04-01"
6801608,"92",NA,NA,NA,NA,54.11,54.382,54.79,55.47,55.48,55.486,55.49,3,2009,2022,"04-02"
6801608,"121",NA,NA,NA,NA,51.6,52.6,54.035,55.425,55.575,55.699,55.795,9,2009,2022,"05-01"
6801608,"122",NA,NA,NA,NA,50.305,51.322,52.8475,55.39,55.46,55.502,55.53,3,2009,2022,"05-02"
6801608,"152",NA,NA,NA,NA,48.76,52.56,53.75,55.195,55.62,55.667,55.775,9,2009,2022,"06-01"
6801608,"153",NA,NA,NA,NA,48.405,49.827,51.96,55.515,55.6075,55.663,55.7,3,2009,2022,"06-02"
6801608,"182",NA,NA,NA,NA,49.53,53.018,54.565,55.5,55.67,55.931,56.755,9,2009,2022,"07-01"
6801608,"183",NA,NA,NA,NA,50.58,51.569,53.0525,55.525,55.5875,55.625,55.65,3,2009,2022,"07-02"
6801608,"213",NA,NA,NA,NA,53.29,54.4735,54.9338,55.585,55.7508,55.796,55.805,10,2009,2022,"08-01"
6801608,"214",NA,NA,NA,NA,52.595,53.196,54.0975,55.6,55.6375,55.66,55.675,3,2009,2022,"08-02"
6801608,"244",NA,NA,NA,NA,54.43,54.619,55.1712,55.4825,55.7225,55.73,55.73,10,2009,2022,"09-01"
6801608,"245",NA,NA,NA,NA,54.54,54.757,55.0825,55.625,55.6275,55.629,55.63,3,2009,2022,"09-02"
6801608,"274",NA,NA,NA,NA,55.005,55.0365,55.0838,55.445,55.5837,55.7565,55.77,10,2009,2022,"10-01"
6801608,"275",NA,NA,NA,NA,54.41,54.647,55.0025,55.595,55.635,55.659,55.675,3,2009,2022,"10-02"
