"site","year","medianDepth","nobsv"
"6811302",2007,163,23
"6811302",2008,166.8,24
"6811302",2009,168.1,23
"6811302",2010,165.085,24
"6811302",2011,169.69,23
"6811302",2012,166.29,23
"6811302",2013,166.62,24
"6811302",2014,170.12,23
"6811302",2015,165.765,24
"6811302",2016,164.775,24
"6811302",2017,163.11,23
"6811302",2018,164.95,24
"6811302",2019,164.27,24
"6811302",2020,165.175,24
"6811302",2021,164.78,24
"6811302",2022,170.665,24
"6811302",2023,170.055,6
"6811509",2005,302.71,4
"6811509",2006,311.125,24
"6811509",2007,299.415,24
"6811509",2008,308.8,24
"6811509",2009,313.41,23
"6811509",2010,306.96,24
"6811509",2011,316.18,24
"6811509",2012,318.21,24
"6811509",2013,318.01,24
"6811509",2014,318.61,24
"6811509",2015,316.565,24
"6811509",2016,313.78,24
"6811509",2017,315.69,23
"6811509",2018,318.89,24
"6811509",2019,317.56,24
"6811509",2020,322.99,24
"6811509",2021,322.655,24
"6811509",2022,324.225,24
"6811509",2023,324.36,6
"6811611",2008,322.4,19
"6811611",2009,319.2,23
"6811611",2010,308.6,24
"6811611",2011,332.75,23
"6811611",2012,328.7,23
"6811611",2013,332.235,24
"6811611",2014,345.26,23
"6811611",2015,327.335,24
"6811611",2016,314.79,24
"6811611",2017,322,23
"6811611",2018,333.535,24
"6811611",2019,308.11,24
"6811611",2020,336.875,24
"6811611",2021,330.335,24
"6811611",2022,348.825,24
"6811611",2023,345.75,6
"6811708",2000,223.3,2
"6811708",2001,206.75,1
"6811708",2002,199.1,1
"6811708",2003,194.75,1
"6811708",2004,206.5,1
"6811708",2005,221.75,1
"6811708",2006,235.25,1
"6811708",2007,215.69,1
"6811708",2009,216.775,22
"6811708",2010,205.1,24
"6811708",2011,234.82,24
"6811708",2012,231.64,23
"6811708",2013,235.43,24
"6811708",2014,232.415,24
"6811708",2015,227.48,24
"6811708",2016,222,24
"6811708",2017,233.78,23
"6811708",2018,235.94,24
"6811708",2019,229.08,24
"6811708",2020,240.52,24
"6811708",2021,234.405,24
"6811708",2022,249.75,24
"6811708",2023,236.545,6
"6811814",2007,210.4,11
"6811814",2008,231.35,24
"6811814",2009,233.9,23
"6811814",2010,221.065,24
"6811814",2011,236.21,23
"6811814",2012,234.2,23
"6811814",2013,235.35,24
"6811814",2014,238.1,23
"6811814",2015,231.1,24
"6811814",2016,226.3,24
"6811814",2017,233,23
"6811814",2018,234.55,24
"6811814",2019,224.05,24
"6811814",2020,235.15,24
"6811814",2021,231.2,24
"6811814",2022,241.15,24
"6811814",2023,239.9,6
"6812106",2005,99.5,4
"6812106",2006,101.625,24
"6812106",2007,86.885,24
"6812106",2008,100.4,24
"6812106",2009,102.25,23
"6812106",2010,94.925,24
"6812106",2011,103.1,24
"6812106",2012,102.495,24
"6812106",2013,103.2,24
"6812106",2014,103.32,24
"6812106",2015,95.905,24
"6812106",2016,94.535,24
"6812106",2017,97.87,23
"6812106",2018,101.255,24
"6812106",2019,94.535,24
"6812106",2020,99.935,24
"6812106",2021,96.845,24
"6812106",2022,102.43,24
"6812106",2023,103.925,6
"6812413",2005,218.875,4
"6812413",2006,230.795,24
"6812413",2007,208.8,24
"6812413",2008,224.7,24
"6812413",2009,230.4,23
"6812413",2010,211.205,24
"6812413",2011,230.23,23
"6812413",2012,225.43,23
"6812413",2013,233.25,24
"6812413",2014,246,23
"6812413",2015,221.15,24
"6812413",2016,211.65,24
"6812413",2017,223.8,23
"6812413",2018,229.65,24
"6812413",2019,210.9,24
"6812413",2020,230.76,24
"6812413",2021,217.15,24
"6812413",2022,232.8,24
"6812413",2023,232.85,6
"6812507",2005,269.83,5
"6812507",2006,271.25,23
"6812507",2007,267.565,24
"6812507",2008,268.8,24
"6812507",2009,272,23
"6812507",2010,269.21,24
"6812507",2011,271.22,23
"6812507",2012,272.63,23
"6812507",2013,272.88,24
"6812507",2014,272.65,23
"6812507",2015,271.92,24
"6812507",2016,268.105,24
"6812507",2017,269.23,23
"6812507",2018,270.41,24
"6812507",2019,268.875,24
"6812507",2020,270.545,24
"6812507",2021,271.82,24
"6812507",2022,271.42,24
"6812507",2023,272.26,6
"6812509",2007,223.9,8
"6812509",2008,233.85,24
"6812509",2009,234.7,23
"6812509",2010,230.74,24
"6812509",2011,235.09,23
"6812509",2012,234.98,23
"6812509",2013,235.585,24
"6812509",2014,236.42,23
"6812509",2015,234.7,24
"6812509",2016,231.615,24
"6812509",2017,234.57,23
"6812509",2018,234.875,24
"6812509",2019,230.285,24
"6812509",2020,235.375,24
"6812509",2021,234.04,24
"6812509",2022,238.06,24
"6812509",2023,237.61,6
